"*";"base";"ian";"s";"anian";"ians"
"tn_Poitiers";"普瓦捷";"普瓦捷人";"普瓦捷的";"一個普瓦捷人";"普瓦捷人"
"tn_Poitou";"普瓦圖";"普瓦圖人";"普瓦圖的";"一個普瓦圖人";"普瓦圖人"
"tn_Poland";"波蘭";"波蘭人";"波蘭的";"一個波蘭人";"波蘭人"
"tn_Poland_Lithuania";"波蘭-立陶宛";"波蘭-立陶宛人";"波蘭-立陶宛的";"一個波蘭-立陶宛人";"波蘭-立陶宛人"
"tn_Polesia";"波利西亞";"波利西亞人";"波利西亞的";"一個波利西亞人";"波利西亞人"
"tn_Polotsk";"波洛茨克";"波洛茨克人";"波洛茨克的";"一個波洛茨克人";"波洛茨克人"
"tn_Poltava";"波爾塔瓦";"波爾塔瓦人";"波爾塔瓦的";"一個波爾塔瓦人";"波爾塔瓦人"
"tn_Pomerania";"波美拉尼亞";"波美拉尼亞人";"波美拉尼亞的";"一個波美拉尼亞人";"波美拉尼亞人"
"tn_Pomerelia";"波美雷利亞";"波美雷利亞人";"波美雷利亞的";"一個波美雷利亞人";"波美雷利亞人"
"tn_Pontos";"本都";"本都人";"本都的";"一個本都人";"本都人"
"tn_Porto";"波爾圖";"波爾圖人";"波爾圖的";"一個波爾圖人";"波爾圖人"
"tn_Portugal";"葡萄牙";"葡萄牙人";"葡萄牙的";"一個葡萄牙人";"葡萄牙人"
"tn_Powys";"波厄斯";"波厄斯人";"波厄斯的";"一個波厄斯人";"波厄斯人"
"tn_Poznan";"波茲南";"波茲南人";"波茲南的";"一個波茲南人";"波茲南人"
"tn_Prague";"布拉格";"布拉格人";"布拉格的";"一個布拉格人";"布拉格人"
"tn_Propontis";"普羅波恩蒂斯";"";"";"";""
"tn_Provence";"普羅旺斯";"普羅旺斯人";"普羅旺斯的";"一個普羅旺斯人";"普羅旺斯人"
"tn_Prussia";"普魯士";"普魯士人";"普魯士的";"一個普魯士人";"普魯士人"
"tn_Pskov";"普斯科夫";"普斯科夫人";"普斯科夫的";"一個普斯科夫人";"普斯科夫人"
"tn_Qairwan";"凱魯萬";"凱魯萬人";"凱魯萬的";"一個凱魯萬人";"凱魯萬人"
"tn_Qazvin";"加茲溫";"加茲溫人";"加茲溫的";"一個加茲溫人";"加茲溫人"
"tn_Qeirwan";"加爾萬";"加爾萬人";"加爾萬的";"一個加爾萬人";"加爾萬人"
"tn_Qena";"基納";"基納人";"基納的";"一個基納人";"基納人"
"tn_Qift";"基夫特";"基夫特人";"基夫特的";"一個基夫特人";"基夫特人"
"tn_Qufa";"庫法";"庫法人";"庫法的";"一個庫法人";"庫法人"
"tn_Rabat";"拉巴特";"拉巴特人";"拉巴特的";"一個拉巴特人";"拉巴特人"
"tn_Ragusa";"拉古薩";"拉古薩人";"拉古薩的";"一個拉古薩人";"拉古薩人"
"tn_Raqqa";"拉卡";"拉卡人";"拉卡的";"一個拉卡人";"拉卡人"
"tn_Ras";"拉什";"拉什人";"拉什的";"一個拉什人";"拉什人"
"tn_Raska";"拉什卡";"拉什卡人";"拉什卡的";"一個拉什人";"拉什人"
"tn_Reach_Of_Cyprus";"塞浦路斯之境";"";"";"";""
"tn_Reach_Of_Egypt";"埃及之境";"";"";"";""
"tn_Red_Sea";"紅海";"";"";"";""
"tn_Regensburg";"雷根斯堡";"雷根斯堡人";"雷根斯堡的";"一個雷根斯堡人";"雷根斯堡人"
"tn_Reggio";"利基翁";"利基翁人";"利基翁的";"一個利基翁人";"利基翁人"
"tn_Rennes";"雷恩";"雷恩人";"雷恩的";"一個雷恩人";"雷恩人"
"tn_Reval";"日瓦爾";"日瓦爾人";"日瓦爾的";"一個日瓦爾人";"日瓦爾人"
"tn_Rheims";"蘭斯";"蘭斯人";"蘭斯的";"一個蘭斯人";"蘭斯人"
"tn_Rhineland";"萊茵蘭";"萊茵蘭人";"萊茵蘭的";"一個萊茵蘭人";"萊茵蘭人"
"tn_Rhodes";"羅德島";"羅德島人";"羅德島的";"一個羅德島人";"羅德島人"
"tn_Riga";"里加";"里加人";"里加的";"一個里加人";"里加人"
"tn_Rogaland";"羅加蘭";"羅加蘭人";"羅加蘭的";"一個羅加蘭人";"羅加蘭人"
"tn_Rome";"羅馬";"羅馬人";"羅馬的";"一個羅馬人";"羅馬人"
"tn_Roskilde";"羅斯基勒";"羅斯基勒人";"羅斯基勒的";"一個羅斯基勒人";"羅斯基勒人"
"tn_Rostov";"羅斯托夫";"羅斯托夫人";"羅斯托夫的";"一個羅斯托夫人";"羅斯托夫人"
"tn_Rostov_Suzdal";"羅斯托夫-蘇茲達爾";"羅斯托夫-蘇茲達爾人";"羅斯托夫-蘇茲達爾的";"一個羅斯托夫-蘇茲達爾人";"羅斯托夫-蘇茲達爾人"
"tn_Rouen";"魯昂";"魯昂人";"魯昂的";"一個魯昂人";"魯昂人"
"tn_Rum";"羅姆";"羅姆人";"羅姆的";"一個羅姆人";"羅姆人"
"tn_Russia";"俄羅斯";"俄羅斯人";"俄羅斯的";"一個俄羅斯人";"俄羅斯人"
"tn_Ruthenia";"魯塞尼亞";"魯塞尼亞人";"魯塞尼亞的";"一個魯塞尼亞人";"魯塞尼亞人"
"tn_Ryazan";"梁贊";"梁贊人";"梁贊的";"一個梁贊人";"梁贊人"
"tn_Rzeszow";"熱舒夫";"熱舒夫人";"熱舒夫的";"一個熱舒夫人";"熱舒夫人"
"tn_Saaremaa";"薩列馬";"薩列馬人";"薩列馬的";"一個薩列馬人";"薩列馬人"
"tn_Safi";"薩菲";"薩菲人";"薩菲的";"一個薩菲人";"薩菲人"
"tn_Salalah";"塞拉萊";"塞拉萊人";"塞拉萊的";"一個塞拉萊人";"塞拉萊人"
"tn_Salamanca";"薩拉曼卡";"薩拉曼卡人";"薩拉曼卡的";"一個薩拉曼卡人";"薩拉曼卡人"
"tn_Saltuqids";"薩爾圖格";"薩爾圖格人";"薩爾圖格的";"一個薩爾圖格人";"薩爾圖格人"
"tn_Samandar";"薩曼達爾";"薩曼達爾人";"薩曼達爾的";"一個薩曼達爾人";"薩曼達爾人"
"tn_Samara";"薩馬拉";"薩馬拉人";"薩馬拉的";"一個薩馬拉人";"薩馬拉人"
"tn_Samsat";"薩姆薩特";"薩姆薩特人";"薩姆薩特的";"一個薩姆薩特人";"薩姆薩特人"
"tn_Sardinia";"撒丁島";"撒丁島人";"撒丁島的";"一個撒丁島人";"撒丁島人"
"tn_Sardis";"薩迪斯";"薩迪斯人";"薩迪斯的";"一個薩迪斯人";"薩迪斯人"
"tn_Sarkel";"薩克爾";"薩克爾人";"薩克爾的";"一個薩克爾人";"薩克爾人"
"tn_Savoy";"薩伏依";"薩伏依人";"薩伏依的";"一個薩伏依人";"薩伏依人"
"tn_Sawakin";"薩瓦金";"薩瓦金人";"薩瓦金的";"一個薩瓦金人";"薩瓦金人"
"tn_Saxony";"薩克森";"薩克森人";"薩克森的";"一個薩克森人";"撒克遜人"
"tn_Scania";"斯堪尼亞";"斯堪尼亞人";"斯堪尼亞的";"一個斯堪尼亞人";"斯堪尼亞人"
"tn_Schleswig";"石勒蘇益格";"石勒蘇益格人";"石勒蘇益格的";"一個石勒蘇益格人";"石勒蘇益格人"
"tn_Scodra";"斯科德拉";"斯科德拉人";"斯科德拉的";"一個斯科德拉人";"斯科德拉人"
"tn_Scotland";"蘇格蘭";"蘇格蘭人";"蘇格蘭的";"一個蘇格蘭人";"蘇格蘭人"
"tn_Sczieczin";"施皮森";"施皮森人";"施皮森的";"一個施皮森人";"施皮森人"
"tn_Seljuks";"塞爾柱";"塞爾柱人";"塞爾柱的";"一個塞爾柱人";"塞爾柱人"
"tn_Semigallia";"瑟米加利亞";"瑟米加利亞人";"瑟米加利亞的";"一個瑟米加利亞人";"瑟米加利亞人"
"tn_Serbia";"塞爾維亞";"塞爾維亞人";"塞爾維亞的";"一個塞爾維亞人";"塞爾維亞人"
"tn_SerbianEmpire";"塞爾維亞";"塞爾維亞人";"塞爾維亞的";"一個塞爾維亞人";"塞爾維亞人"
"tn_Severin";"塞弗林";"塞弗林人";"塞弗林的";"一個塞弗林人";"塞弗林人"
"tn_Seville";"塞維利亞";"塞維利亞人";"塞維利亞的";"一個塞維利亞人";"塞維利亞人"
"tn_Shaddadids";"沙達德";"沙達德人";"沙達德的";"一個沙達德人";"沙達德人"
"tn_Shamakhi";"沙馬基";"沙馬基人";"沙馬基的";"一個沙馬基人";"沙馬基人"
"tn_Shiraz";"希拉茲";"希拉茲人";"希拉茲的";"一個希拉茲人";"希拉茲人"
"tn_Shirvan";"希爾萬";"希爾萬人";"希爾萬的";"一個希爾萬人";"希爾萬人"
"tn_Sicily";"西西里島";"西西里島人";"西西里島的";"一個西西里島人";"西西里島人"
"tn_Sieradz";"謝拉茲";"謝拉茲人";"謝拉茲的";"一個謝拉茲人";"謝拉茲人"
"tn_Sijilmassa";"斯基瑪薩";"斯基瑪薩人";"斯基瑪薩的";"一個斯基瑪薩人";"斯基瑪薩人"
"tn_Silesia";"西里西亞";"西里西亞人";"西里西亞的";"一個西里西亞人";"西里西亞人"
"tn_Sinai";"西奈";"西奈人";"西奈的";"一個西奈人";"西奈人"
"tn_Sinope";"錫諾普";"錫諾普人";"錫諾普的";"一個錫諾普人";"錫諾普人"
"tn_Sirt";"錫爾特";"錫爾特人";"錫爾特的";"一個錫爾特人";"錫爾特人"
"tn_Siveria";"西維利亞";"西維利亞人";"西維利亞的";"一個西維利亞人";"西維利亞人"
"tn_Siwa";"錫瓦";"錫瓦人";"錫瓦的";"一個錫瓦人";"錫瓦人"
"tn_Smaland";"斯莫蘭";"斯莫蘭人";"斯莫蘭的";"一個斯莫蘭人";"斯莫蘭人"
"tn_Smolensk";"斯摩棱斯克";"斯摩棱斯克人";"斯摩棱斯克的";"一個斯摩棱斯克人";"斯摩棱斯克人"
"tn_Smyrna";"士麥那";"士麥那人";"士麥那的";"一個士麥那人";"士麥那人"
"tn_Soba";"索巴";"索巴人";"索巴的";"一個索巴人";"索巴人"
"tn_Southern_Caspian";"裡海南岸";"";"";"";""
"tn_Southern_Ocean";"南大洋";"";"";"";""
"tn_Spain";"西班牙";"西班牙人";"西班牙的";"一個西班牙人";"西班牙人"
"tn_Sredets";"斯雷德茲";"斯雷德茲人";"斯雷德茲的";"一個斯雷德茲人";"斯雷德茲人"
"tn_Stavanger";"斯塔萬格";"斯塔萬格人";"斯塔萬格的";"一個斯塔萬格人";"斯塔萬格人"
"tn_Stockholm";"斯德哥爾摩";"斯德哥爾摩人";"斯德哥爾摩的";"一個斯德哥爾摩人";"斯德哥爾摩人"
"tn_Strasbourg";"斯特拉斯堡";"斯特拉斯堡人";"斯特拉斯堡的";"一個斯特拉斯堡人";"斯特拉斯堡人"
"tn_Strymon";"斯特賴蒙";"斯特賴蒙人";"斯特賴蒙的";"一個斯特賴蒙人";"斯特賴蒙人"
"tn_Sutherland";"薩瑟蘭";"薩瑟蘭人";"薩瑟蘭的";"一個薩瑟蘭人";"薩瑟蘭人"
"tn_Suzdal";"蘇茲達爾";"蘇茲達爾人";"蘇茲達爾的";"一個蘇茲達爾人";"蘇茲達爾人"
"tn_Svealand";"斯韋阿蘭";"斯韋阿蘭人";"斯韋阿蘭的";"一個斯韋阿蘭人";"斯韋阿蘭人"
"tn_Swabia";"斯瓦比亞";"斯瓦比亞人";"斯瓦比亞的";"一個斯瓦比亞人";"斯瓦比亞人"
"tn_Sweden";"瑞典";"瑞典人";"瑞典的";"一個瑞典人";"瑞典人"
"tn_Switzerland";"瑞士";"瑞士人";"瑞士的";"一個瑞士人";"瑞士人"
"tn_Tabriz";"大不里士";"大不里士人";"大不里士的";"一個大不里士人";"大不里士人"
"tn_Taghaza";"特加扎";"特加扎人";"特加扎的";"一個特加扎人";"特加扎人"
"tn_Tahert";"塔赫特";"塔赫特人";"塔赫特的";"一個塔赫特人";"塔赫特人"
"tn_Taman";"塔曼";"塔曼人";"塔曼的";"一個塔曼人";"塔曼人"
"tn_Tamanrasset";"塔曼拉塞特";"塔曼拉塞特人";"塔曼拉塞特的";"一個塔曼拉塞特人";"塔曼拉塞特人"
"tn_Tamdoult";"唐圖勒";"唐圖勒人";"唐圖勒的";"一個唐圖勒人";"唐圖勒人"
"tn_Tangier";"丹吉爾";"丹吉爾人";"丹吉爾的";"一個丹吉爾人";"丹吉爾人"
"tn_Taoudenni";"陶代尼";"陶代尼人";"陶代尼的";"一個陶代尼人";"陶代尼人"
"tn_Tarnovo";"塔爾諾沃";"塔爾諾沃人";"塔爾諾沃的";"一個塔爾諾沃人";"塔爾諾沃人"
"tn_Taron";"塔龍";"塔龍人";"塔龍的";"一個塔龍人";"塔龍人"
"tn_Tarsus";"塔爾蘇斯";"塔爾蘇斯人";"塔爾蘇斯的";"一個塔爾蘇斯人";"塔爾蘇斯人"
"tn_Tbilisi";"第比利斯";"第比利斯人";"第比利斯的";"一個第比利斯人";"第比利斯人"
"tn_Tebuk";"塔布克";"塔布克人";"塔布克的";"一個塔布克人";"塔布克人"
"tn_Teke";"泰凱";"泰凱人";"泰凱的";"一個泰凱人";"泰凱人"
"tn_Temesvar";"騰斯法";"騰斯法人";"騰斯法的";"一個騰斯法人";"騰斯法人"
"tn_Teutonic_Order";"條頓騎士團";"條頓騎士團人";"條頓騎士團的";"一個條頓騎士團人";"條頓騎士團人"
"tn_The_Channel";"英吉利海峽";"";"";"";""
"tn_The_Hague";"海牙";"海牙人";"海牙的";"一個海牙人";"海牙人"
"tn_Thessalonica";"帖撒羅尼迦";"帖撒羅尼迦人";"帖撒羅尼迦的";"一個帖撒羅尼迦人";"帖撒羅尼迦人"
"tn_Thrace";"色雷斯";"色雷斯人";"色雷斯的";"一個色雷斯人";"色雷斯人"
"tn_Thuringia";"圖林根";"圖林根人";"圖林根的";"一個圖林根人";"圖林根人"
"tn_Tiflis";"第比利斯";"第比利斯人";"第比利斯的";"一個第比利斯人";"第比利斯人"
"tn_Tikrit";"提克里特";"提克里特人";"提克里特的";"一個提克里特人";"提克里特人"
"tn_Tirgoviste";"特爾戈維什泰";"特爾戈維什泰人";"特爾戈維什泰的";"一個特爾戈維什泰人";"特爾戈維什泰人"
"tn_Tlemcen";"特萊姆森";"特萊姆森人";"特萊姆森的";"一個特萊姆森人";"特萊姆森人"
"tn_Tmutarakhan";"圖穆塔爾喀汗";"圖穆塔爾喀汗人";"圖穆塔爾喀汗的";"一個圖穆塔爾喀汗人";"圖穆塔爾喀汗人"
"tn_Toledo";"托雷多";"托雷多人";"托雷多的";"一個托雷多人";"托雷多人"
"tn_Torino";"都靈";"都靈人";"都靈的";"一個都靈人";"都靈人"
"tn_Torun";"托倫";"托倫人";"托倫的";"一個托倫人";"托倫人"
"tn_Toulouse";"圖盧茲";"圖盧茲人";"圖盧茲的";"一個圖盧茲人";"圖盧茲人"
"tn_Trables";"塔爾布勒";"塔爾布勒人";"塔爾布勒的";"一個塔爾布勒人";"塔爾布勒人"
"tn_Trabzon";"特拉布宗";"特拉布宗人";"特拉布宗的";"一個特拉布宗人";"特拉布宗人"
"tn_Trakai";"特拉凱";"特拉凱人";"特拉凱的";"一個特拉凱人";"特拉凱人"
"tn_Transjordania";"外約旦";"外約旦人";"外約旦的";"一個外約旦人";"外約旦人"
"tn_Transylvania";"特蘭西瓦尼亞";"特蘭西瓦尼亞人";"特蘭西瓦尼亞的";"一個特蘭西瓦尼亞人";"特蘭西瓦尼亞人"
"tn_Trebizond";"特拉比松";"特拉比松人";"特拉比松的";"一個特拉比松人";"特拉比松人"
"tn_Tripoli";"的黎波里";"的黎波里人";"的黎波里的";"一個的黎波里人";"的黎波里人"
"tn_Tripolitania";"的黎波里塔尼亞";"的黎波里塔尼亞人";"的黎波里塔尼亞的";"一個的黎波里塔尼亞人";"的黎波里塔尼亞人"
"tn_Trondheim";"特隆赫姆";"特隆赫姆人";"特隆赫姆的";"一個特隆赫姆人";"特隆赫姆人"
"tn_Tskhumi";"塔什霍米";"塔什霍米人";"塔什霍米的";"一個塔什霍米人";"塔什霍米人"
"tn_Tunis";"突尼斯";"突尼斯人";"突尼斯的";"一個突尼斯人";"突尼斯人"
"tn_Tunisia";"突尼斯";"突尼斯人";"突尼斯的";"一個突尼斯人";"突尼斯人"
"tn_Turku";"圖爾庫";"圖爾庫人";"圖爾庫的";"一個圖爾庫人";"圖爾庫人"
"tn_Turov";"圖羅夫";"圖羅夫人";"圖羅夫的";"一個圖羅夫人";"圖羅夫人"
"tn_Tuscany";"托斯卡納";"托斯卡納人";"托斯卡納的";"一個托斯卡納人";"托斯卡納人"
"tn_Tver";"特維爾";"特維爾人";"特維爾的";"一個特維爾人";"特維爾人"
"tn_Tyrol";"提洛爾";"提洛爾人";"提洛爾的";"一個提洛爾人";"提洛爾人"
"tn_Tyrrhenian_Sea";"第勒尼安海";"";"";"";""
"tn_Uglich";"烏格里奇";"烏格里奇人";"烏格里奇的";"一個烏格里奇人";"烏格里奇人"
"tn_Ukek";"烏柯克";"烏柯克人";"烏柯克的";"一個烏柯克人";"烏柯克人"
"tn_Ulster";"阿爾斯特";"阿爾斯特人";"阿爾斯特的";"一個阿爾斯特人";"阿爾斯特人"
"tn_Uppland";"烏普蘭";"烏普蘭人";"烏普蘭的";"一個烏普蘭人";"烏普蘭人"
"tn_Uppsala";"烏普薩拉";"烏普薩拉人";"烏普薩拉的";"一個烏普薩拉人";"烏普薩拉人"
"tn_Ustyug";"烏斯秋格";"烏斯秋格人";"烏斯秋格的";"一個烏斯秋格人";"烏斯秋格人"
"tn_Uusima";"烏斯瑪";"烏斯瑪人";"烏斯瑪的";"一個烏斯瑪人";"烏斯瑪人"
"tn_Valencia";"瓦倫西亞";"瓦倫西亞人";"瓦倫西亞的";"一個瓦倫西亞人";"瓦倫西亞人"
"tn_Varberg";"瓦爾貝里";"瓦爾貝里人";"瓦爾貝里的";"一個瓦爾貝里人";"瓦爾貝里人"
"tn_Vasteras";"韋斯特羅斯";"韋斯特羅斯人";"韋斯特羅斯的";"一個韋斯特羅斯人";"韋斯特羅斯人"
"tn_Vastergotland";"西約特蘭";"西約特蘭人";"西約特蘭的";"一個西約特蘭人";"西約特蘭人"
"tn_Vastermanland";"西曼蘭";"西曼蘭人";"西曼蘭的";"一個西曼蘭人";"西曼蘭人"
"tn_Veneto";"威尼托";"威尼託人";"威尼托的";"一個威尼託人";"威尼託人"
"tn_Venice";"威尼斯";"威尼託人";"威尼斯的";"一個威尼託人";"威尼託人"
"tn_Vidin";"維丁";"維丁人";"維丁的";"一個維丁人";"維丁人"
"tn_Vienna";"維也納";"維也納人";"維也納的";"一個維也納人";"維也納人"
"tn_Viken";"維肯";"維肯人";"維肯的";"一個維肯人";"維肯人"
"tn_Vilnius";"維爾紐斯";"維爾紐斯人";"維爾紐斯的";"一個維爾紐斯人";"維爾紐斯人"
"tn_Vinnytsia";"文尼察";"文尼察人";"文尼察的";"一個文尼察人";"文尼察人"
"tn_Visby";"維斯比";"維斯比人";"維斯比的";"一個維斯比人";"維斯比人"
"tn_Visoko";"維索科";"維索科人";"維索科的";"一個維索科人";"維索科人"
"tn_Vladimir";"弗拉基米爾";"弗拉基米爾人";"弗拉基米爾的";"一個弗拉基米爾人";"弗拉基米爾人"
"tn_Volga_Bulgaria";"伏爾加保加利亞";"保加利亞人";"伏爾加保加利亞的";"一個保加利亞人";"保加利亞人"
"tn_Volhynia";"沃里尼亞";"沃里尼亞人";"沃里尼亞的";"一個沃里尼亞人";"沃里尼亞人"
"tn_Volodymyr";"沃洛德米爾";"沃洛德米爾人";"沃洛德米爾的";"一個沃洛德米爾人";"沃洛德米爾人"
"tn_Voronezh";"沃羅涅日";"沃羅涅日人";"沃羅涅日的";"一個沃羅涅日人";"沃羅涅日人"
"tn_Vyatka";"維亞特卡";"維亞特卡人";"維亞特卡的";"一個維亞特卡人";"維亞特卡人"
"tn_Vyborg";"維堡";"維堡人";"維堡的";"一個維堡人";"維堡人"
"tn_Vytebsk";"維帖布斯克";"維帖布斯克人";"維帖布斯克的";"一個維帖布斯克人";"維帖布斯克人"
"tn_Wadan";"瓦丹";"瓦丹人";"瓦丹的";"一個瓦丹人";"瓦丹人"
"tn_Waddai";"瓦迪";"瓦迪人";"瓦迪的";"一個瓦迪人";"瓦迪人"
"tn_Wadi_Al_Batin";"巴廷干河";"巴廷干河人";"巴廷干河的";"一個巴廷干河人";"巴廷干河人"
"tn_Wallachia";"瓦拉幾亞";"瓦拉幾亞人";"瓦拉幾亞的";"一個瓦拉幾亞人";"瓦拉幾亞人"
"tn_Wara";"瓦拉";"瓦拉人";"瓦拉的";"一個瓦拉人";"瓦拉人"
"tn_Warsawa";"華沙";"華沙人";"華沙的";"一個華沙人";"華沙人"
"tn_Warwick";"沃里克";"沃里克人";"沃里克的";"一個沃里克人";"沃里克人"
"tn_Warwickshire";"沃里克郡";"沃里克郡人";"沃里克郡的";"一個沃里克郡人";"沃里克郡人"
"tn_West_Flanders";"西佛蘭德斯";"西佛蘭德人";"西佛蘭德斯的";"一個西佛蘭德人";"西佛蘭德人"
"tn_Western_Black_Sea";"黑海西岸";"";"";"";""
"tn_Western_Mediterranean";"西地中海";"";"";"";""
"tn_Western_Ocean";"大西洋";"";"";"";""
"tn_Winchester";"溫切斯特";"溫切斯特人";"溫切斯特的";"一個溫切斯特人";"溫切斯特人"
"tn_Windau";"溫道";"溫道人";"溫道的";"一個溫道人";"溫道人"
"tn_Wismar";"維斯馬";"維斯馬人";"維斯馬的";"一個維斯馬人";"維斯馬人"
"tn_Worms";"渥努姆斯";"渥努姆斯人";"渥努姆斯的";"一個渥努姆斯人";"渥努姆斯人"
"tn_Wroclaw";"弗羅茨瓦夫";"弗羅茨瓦夫人";"弗羅茨瓦夫的";"一個弗羅茨瓦夫人";"弗羅茨瓦夫人"
"tn_Xacitarxan";"哈吉塔爾漢";"哈吉塔爾漢人";"哈吉塔爾漢的";"一個哈吉塔爾漢人";"哈吉塔爾漢人"
"tn_Yaroslavl";"雅羅斯拉夫爾";"雅羅斯拉夫爾人";"雅羅斯拉夫爾的";"一個雅羅斯拉夫爾人";"雅羅斯拉夫爾人"
"tn_Yash";"亞什";"亞什人";"亞什的";"一個亞什人";"亞什人"
"tn_Yathrib";"葉斯里卜";"葉斯里卜人";"葉斯里卜的";"一個葉斯里卜人";"葉斯里卜人"
"tn_Yazd";"亞茲德";"亞茲德人";"亞茲德的";"一個亞茲德人";"亞茲德人"
"tn_Yedisan";"葉迪山";"葉迪山人";"葉迪山的";"一個葉迪山人";"葉迪山人"
"tn_Yemen";"也門";"也門人";"也門的";"一個也門人";"也門人"
"tn_York";"約克";"約克人";"約克的";"一個約克人";"約克人"
"tn_Yorkshire";"約克郡";"約克人";"約克郡的";"一個約克人";"約克人"
"tn_Yotvingia";"約域治亞";"約域治亞人";"約域治亞的";"一個約域治亞人";"約域治亞人"
"tn_Zadar";"扎達爾";"扎達爾人";"扎達爾的";"一個扎達爾人";"扎達爾人"
"tn_Zagreb";"薩格勒布";"薩格勒布人";"薩格勒布的";"一個薩格勒布人";"薩格勒布人"
"tn_Zakarid_Armenia";"扎卡里德亞美尼亞";"扎卡里德人";"扎卡里德亞美尼亞的";"一個扎卡里德人";"扎卡里德人"
"tn_Zalesye";"扎列西耶";"扎列西耶人";"扎列西耶的";"一個扎列西耶人";"扎列西耶人"
"tn_Zaragoza";"薩拉戈薩";"薩拉戈薩人";"薩拉戈薩的";"一個薩拉戈薩人";"薩拉戈薩人"
"tn_Zealand";"西蘭島";"西蘭島人";"西蘭島的";"一個西蘭島人";"西蘭島人"
"tn_Zemaitija";"澤馬提賈";"澤馬提賈人";"澤馬提賈的";"一個澤馬提賈人";"澤馬提賈人"
"tn_Zhytomyr";"日托米爾";"日托米爾人";"日托米爾的";"一個日托米爾人";"日托米爾人"
"tn_Zirids";"日裡德";"日裡德人";"日裡德的";"一個日裡德人";"日裡德人"
"tn_Zurich";"蘇黎世";"蘇黎世人";"蘇黎世的";"一個蘇黎世人";"蘇黎世人"
"tn_Outer_Hebriders_Reach";"外赫布里群島之境";"";"";"";""
